[2024-04-08T03:14:44.500+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: real_estates.extract_real_estates scheduled__2024-04-06T00:00:00+00:00 [queued]>
[2024-04-08T03:14:44.519+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: real_estates.extract_real_estates scheduled__2024-04-06T00:00:00+00:00 [queued]>
[2024-04-08T03:14:44.519+0000] {taskinstance.py:2193} INFO - Starting attempt 6 of 6
[2024-04-08T03:14:44.547+0000] {taskinstance.py:2217} INFO - Executing <Task(_PythonDecoratedOperator): extract_real_estates> on 2024-04-06 00:00:00+00:00
[2024-04-08T03:14:44.562+0000] {standard_task_runner.py:60} INFO - Started process 77574 to run task
[2024-04-08T03:14:44.569+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'real_estates', 'extract_real_estates', 'scheduled__2024-04-06T00:00:00+00:00', '--job-id', '285', '--raw', '--subdir', 'DAGS_FOLDER/real_estates/__init__.py', '--cfg-path', '/tmp/tmp87_ao0yo']
[2024-04-08T03:14:44.574+0000] {standard_task_runner.py:88} INFO - Job 285: Subtask extract_real_estates
[2024-04-08T03:15:18.616+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17069060011396/ format type 1
[2024-04-08T03:15:18.991+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17019460001074/ format type 1
[2024-04-08T03:15:19.418+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17082680000043/ format type 1
[2024-04-08T03:15:19.841+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17082680000040/ format type 1
[2024-04-08T03:15:20.559+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17059410000452/ format type 1
[2024-04-08T03:15:20.884+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17070840000162/ format type 1
[2024-04-08T03:15:21.255+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17069060011392/ format type 1
[2024-04-08T03:15:21.655+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17069060011383/ format type 1
[2024-04-08T03:15:22.001+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17020970024712/ format type 1
[2024-04-08T03:15:22.336+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17073810001470/ format type 1
[2024-04-08T03:15:22.671+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17080950000161/ format type 1
[2024-04-08T03:15:23.034+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17080950000156/ format type 1
[2024-04-08T03:15:23.771+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17079160000075/ format type 1
[2024-04-08T03:15:24.125+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/tochi/b-17080550000355/ format type 1
[2024-04-08T03:15:24.458+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17073780001274/ format type 1
[2024-04-08T03:15:24.840+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17059460000389/ format type 1
[2024-04-08T03:15:25.202+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17059410000453/ format type 1
[2024-04-08T03:15:25.588+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17080950000181/ format type 1
[2024-04-08T03:15:25.945+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/tochi/b-17076100000380/ format type 1
[2024-04-08T03:15:26.618+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/tochi/b-17052000000650/ format type 1
[2024-04-08T03:15:27.015+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17006290000258/ format type 1
[2024-04-08T03:15:27.403+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17076860000083/ format type 1
[2024-04-08T03:15:27.784+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17069360000575/ format type 1
[2024-04-08T03:15:28.133+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17073780001275/ format type 1
[2024-04-08T03:15:28.492+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17073770001386/ format type 1
[2024-04-08T03:15:29.225+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17059770000721/ format type 1
[2024-04-08T03:15:29.581+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17070840000161/ format type 1
[2024-04-08T03:15:29.953+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17080950000164/ format type 1
[2024-04-08T03:15:30.266+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17020970024720/ format type 1
[2024-04-08T03:15:30.556+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17020970024732/ format type 1
[2024-04-08T03:15:30.882+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17020970024730/ format type 1
[2024-04-08T03:15:31.179+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/tochi/b-17020970024723/ format type 1
[2024-04-08T03:15:31.550+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17069060011385/ format type 1
[2024-04-08T03:15:32.287+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17080950000157/ format type 1
[2024-04-08T03:15:32.679+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17076860000082/ format type 1
[2024-04-08T03:15:33.019+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17073790001374/ format type 1
[2024-04-08T03:15:33.384+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17080950000176/ format type 1
[2024-04-08T03:15:33.565+0000] {real_estates.py:75} INFO - Real estate not found: https://www.homes.co.jp/kodate/b-17074100000499/
[2024-04-08T03:15:33.857+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17080950000182/ format type 1
[2024-04-08T03:15:34.035+0000] {real_estates.py:75} INFO - Real estate not found: https://www.homes.co.jp/tochi/b-17069230000146/
[2024-04-08T03:15:34.364+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17077260002263/ format type 1
[2024-04-08T03:15:34.682+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17020970024717/ format type 1
[2024-04-08T03:15:35.328+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17020970024718/ format type 1
[2024-04-08T03:15:35.715+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17069060011389/ format type 1
[2024-04-08T03:15:36.091+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17080960000163/ format type 1
[2024-04-08T03:15:36.516+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17079330002433/ format type 1
[2024-04-08T03:15:36.929+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17076860000086/ format type 1
[2024-04-08T03:15:37.328+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17054070000226/ format type 1
[2024-04-08T03:15:38.027+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17054070000228/ format type 1
[2024-04-08T03:15:38.455+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17080950000173/ format type 1
[2024-04-08T03:15:38.862+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17080950000172/ format type 1
[2024-04-08T03:15:39.249+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17059460000387/ format type 1
[2024-04-08T03:15:39.620+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17080950000178/ format type 1
[2024-04-08T03:15:40.022+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17069060011394/ format type 1
[2024-04-08T03:15:40.326+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/tochi/b-17020970024728/ format type 1
[2024-04-08T03:15:41.061+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17069060011395/ format type 1
[2024-04-08T03:15:41.451+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17069360000578/ format type 1
[2024-04-08T03:15:41.865+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17076860000085/ format type 1
[2024-04-08T03:15:42.225+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17082080000171/ format type 1
[2024-04-08T03:15:42.605+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17079870000128/ format type 1
[2024-04-08T03:15:42.963+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17076860000084/ format type 1
[2024-04-08T03:15:43.348+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17069360000576/ format type 1
[2024-04-08T03:15:44.096+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17070390005033/ format type 1
[2024-04-08T03:15:44.451+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17080950000168/ format type 1
[2024-04-08T03:15:44.835+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17001280000381/ format type 1
[2024-04-08T03:15:45.216+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17059410000454/ format type 1
[2024-04-08T03:15:45.575+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17080950000177/ format type 1
[2024-04-08T03:15:45.927+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17076860000079/ format type 1
[2024-04-08T03:15:46.295+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17076860000078/ format type 1
[2024-04-08T03:15:47.027+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17076860000076/ format type 1
[2024-04-08T03:15:47.362+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17000130014639/ format type 1
[2024-04-08T03:15:47.689+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17000130014638/ format type 1
[2024-04-08T03:15:48.058+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17080950000165/ format type 1
[2024-04-08T03:15:48.426+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17080950000166/ format type 1
[2024-04-08T03:15:48.818+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17076860000088/ format type 1
[2024-04-08T03:15:49.570+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17069060011384/ format type 1
[2024-04-08T03:15:49.985+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17069060011388/ format type 1
[2024-04-08T03:15:50.382+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17069060011387/ format type 1
[2024-04-08T03:15:50.694+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/tochi/b-17020970024725/ format type 1
[2024-04-08T03:15:51.020+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/tochi/b-17015760000074/ format type 1
[2024-04-08T03:15:51.403+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17077380001265/ format type 1
[2024-04-08T03:15:51.803+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17076860000087/ format type 1
[2024-04-08T03:15:52.547+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17019460001073/ format type 1
[2024-04-08T03:15:52.965+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17018090001062/ format type 1
[2024-04-08T03:15:53.333+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17080950000171/ format type 1
[2024-04-08T03:15:53.686+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17082080000172/ format type 1
[2024-04-08T03:15:54.094+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17077260002264/ format type 1
[2024-04-08T03:15:54.435+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17080950000162/ format type 1
[2024-04-08T03:15:54.737+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17063450000146/ format type 1
[2024-04-08T03:15:55.444+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17080950000167/ format type 1
[2024-04-08T03:15:55.773+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17080950000174/ format type 1
[2024-04-08T03:15:56.190+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17004900001008/ format type 1
[2024-04-08T03:15:56.522+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17020970024714/ format type 1
[2024-04-08T03:15:56.686+0000] {real_estates.py:75} INFO - Real estate not found: https://www.homes.co.jp/kodate/b-17069060011381/
[2024-04-08T03:15:56.964+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17080950000184/ format type 1
[2024-04-08T03:15:57.342+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17080950000160/ format type 1
[2024-04-08T03:15:57.712+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17076860000089/ format type 1
[2024-04-08T03:15:58.400+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17080950000169/ format type 1
[2024-04-08T03:15:58.732+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17080950000183/ format type 1
[2024-04-08T03:15:59.086+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17000130014636/ format type 1
[2024-04-08T03:15:59.389+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17020970024724/ format type 1
[2024-04-08T03:15:59.678+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17020970024722/ format type 1
[2024-04-08T03:16:00.061+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17069360000577/ format type 1
[2024-04-08T03:16:00.463+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17069060011393/ format type 1
[2024-04-08T03:16:01.191+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17006290000259/ format type 1
[2024-04-08T03:16:01.506+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17077590000076/ format type 1
[2024-04-08T03:16:01.840+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17080950000175/ format type 1
[2024-04-08T03:16:02.167+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17000130014640/ format type 1
[2024-04-08T03:16:02.519+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17082150000241/ format type 1
[2024-04-08T03:16:02.865+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17000130014637/ format type 1
[2024-04-08T03:16:03.158+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17000130014635/ format type 1
[2024-04-08T03:16:03.873+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17059460000388/ format type 1
[2024-04-08T03:16:04.260+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17062520000303/ format type 1
[2024-04-08T03:16:04.563+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/tochi/b-17020970024715/ format type 1
[2024-04-08T03:16:04.884+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/kodate/b-17007820000098/ format type 1
[2024-04-08T03:16:05.190+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/tochi/b-17020970024713/ format type 1
[2024-04-08T03:16:05.457+0000] {real_estates.py:80} INFO - https://www.homes.co.jp/tochi/b-17020970024716/ format type 1
[2024-04-08T03:16:05.615+0000] {real_estates.py:75} INFO - Real estate not found: https://www.homes.co.jp/tochi/b-17077280000148/
[2024-04-08T03:16:05.692+0000] {real_estates.py:88} WARNING - Temporarily skipping https://www.homes.co.jp/kodate/b-32178570000010/
[2024-04-08T03:16:05.766+0000] {real_estates.py:88} WARNING - Temporarily skipping https://www.homes.co.jp/kodate/b-1124420008353/
[2024-04-08T03:16:05.839+0000] {real_estates.py:88} WARNING - Temporarily skipping https://www.homes.co.jp/kodate/b-92970001173/
[2024-04-08T03:16:05.917+0000] {real_estates.py:88} WARNING - Temporarily skipping https://www.homes.co.jp/kodate/b-1102190024189/
[2024-04-08T03:16:05.990+0000] {real_estates.py:88} WARNING - Temporarily skipping https://www.homes.co.jp/kodate/b-32175980000907/
[2024-04-08T03:16:06.066+0000] {real_estates.py:88} WARNING - Temporarily skipping https://www.homes.co.jp/kodate/b-9510093614/
[2024-04-08T03:16:06.140+0000] {real_estates.py:88} WARNING - Temporarily skipping https://www.homes.co.jp/kodate/b-37020250011376/
[2024-04-08T03:16:06.224+0000] {real_estates.py:88} WARNING - Temporarily skipping https://www.homes.co.jp/kodate/b-1382500001293/
[2024-04-08T03:16:06.298+0000] {real_estates.py:88} WARNING - Temporarily skipping https://www.homes.co.jp/kodate/b-39046190000169/
[2024-04-08T03:16:06.375+0000] {real_estates.py:88} WARNING - Temporarily skipping https://www.homes.co.jp/kodate/b-1412310001185/
[2024-04-08T03:16:06.453+0000] {real_estates.py:88} WARNING - Temporarily skipping https://www.homes.co.jp/kodate/b-1384590005440/
[2024-04-08T03:16:06.529+0000] {real_estates.py:88} WARNING - Temporarily skipping https://www.homes.co.jp/kodate/b-93070000079/
[2024-04-08T03:16:06.609+0000] {real_estates.py:88} WARNING - Temporarily skipping https://www.homes.co.jp/kodate/b-1473240001101/
[2024-04-08T03:16:06.683+0000] {real_estates.py:88} WARNING - Temporarily skipping https://www.homes.co.jp/kodate/b-1113000010823/
[2024-04-08T03:16:06.760+0000] {real_estates.py:88} WARNING - Temporarily skipping https://www.homes.co.jp/kodate/b-73940027010/
[2024-04-08T03:16:06.843+0000] {real_estates.py:88} WARNING - Temporarily skipping https://www.homes.co.jp/kodate/b-32177960000687/
[2024-04-08T03:16:06.920+0000] {real_estates.py:88} WARNING - Temporarily skipping https://www.homes.co.jp/mansion/b-1444690000938/
[2024-04-08T03:16:07.001+0000] {real_estates.py:88} WARNING - Temporarily skipping https://www.homes.co.jp/kodate/b-1268860005586/
[2024-04-08T03:16:07.079+0000] {real_estates.py:88} WARNING - Temporarily skipping https://www.homes.co.jp/kodate/b-1128780004796/
[2024-04-08T03:16:07.154+0000] {real_estates.py:88} WARNING - Temporarily skipping https://www.homes.co.jp/kodate/b-1508880000218/
